4K频道,#genre#
纯享4K,http://192.168.5.3:50001/TVOD/1000000004000011651/ystenlive/index.m3u8$20M2160_易视腾
CCTV16 奥林匹克4K,http://192.168.5.3:50001/TVOD/5000000008000023254/bestzb/index.m3u8$12M2160HEVC_百视通
SiTV欢笑剧场4K,http://192.168.5.3:50001/TVOD/5000000007000010001/bestzb/index.m3u8$12M2160HEVC_百视通
华数4K,http://192.168.5.3:50001/TVOD/2000000004000000014/hnbblive/index.m3u8$15M2160_湖南bblive
央视频道,#genre#
CCTV1 综合,http://192.168.5.3:50001/TVOD/1000000001000018602/ystenlive/index.m3u8$8M1080_易视腾
CCTV1 综合,http://192.168.5.3:50001/TVOD/5000000004000002226/bestzb/index.m3u8$7.5M1080_百视通
CCTV1 综合,http://192.168.5.3:50001/TVOD/1000000005000265001/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV1 综合,http://192.168.5.3:50001/TVOD/5000000010000030810/bestzb/index.m3u8$4M1080_百视通
CCTV1 综合,http://192.168.5.3:50001/TVOD/1000000001000021973/ystenlive/index.m3u8$4M1080_易视腾
CCTV2 财经,http://192.168.5.3:50001/TVOD/1000000001000023315/ystenlive/index.m3u8$8M1080_易视腾
CCTV2 财经,http://192.168.5.3:50001/TVOD/5000000011000031101/bestzb/index.m3u8$6.8M1080_百视通
CCTV2 财经,http://192.168.5.3:50001/TVOD/1000000005000265002/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV2 财经,http://192.168.5.3:50001/TVOD/1000000001000012442/ystenlive/index.m3u8$4M1080_易视腾
CCTV3 综艺,http://192.168.5.3:50001/TVOD/1000000001000013682/ystenlive/index.m3u8$8M1080_易视腾
CCTV3 综艺,http://192.168.5.3:50001/TVOD/5000000004000008883/bestzb/index.m3u8$6.8M1080_百视通
CCTV3 综艺,http://192.168.5.3:50001/TVOD/1000000005000265003/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV3 综艺,http://192.168.5.3:50001/TVOD/5000000002000020548/bestzb/index.m3u8$4M1080_百视通
CCTV3 综艺,http://192.168.5.3:50001/TVOD/1000000001000011218/ystenlive/index.m3u8$4M1080_易视腾
CCTV4 中文国际,http://192.168.5.3:50001/TVOD/5000000011000031102/bestzb/index.m3u8$6.8M1080_百视通
CCTV4 中文国际,http://192.168.5.3:50001/TVOD/1000000005000265004/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV4 中文国际,http://192.168.5.3:50001/TVOD/1000000002000031664/ystenlive/index.m3u8$4M1080_易视腾
CCTV4 中文国际,http://192.168.5.3:50001/TVOD/5000000005000030093/bestzb/index.m3u8$4M720_百视通
CCTV5 体育,http://192.168.5.3:50001/TVOD/1000000005000025222/ystenlive/index.m3u8$12M1080_易视腾
CCTV5 体育,http://192.168.5.3:50001/TVOD/1000000003000030177/ystenlive/index.m3u8$8M1080_易视腾
CCTV5 体育,http://192.168.5.3:50001/TVOD/5000000004000008885/bestzb/index.m3u8$6.8M1080_百视通
CCTV5 体育,http://192.168.5.3:50001/TVOD/1000000005000265005/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV5 体育,http://192.168.5.3:50001/TVOD/5000000010000016619/bestzb/index.m3u8$4M1080_百视通
CCTV5 体育,http://192.168.5.3:50001/TVOD/1000000001000004794/ystenlive/index.m3u8$4M1080_易视腾
CCTV5+ 体育赛事,http://192.168.5.3:50001/TVOD/1000000001000018504/ystenlive/index.m3u8$8M1080_易视腾
CCTV5+ 体育赛事,http://192.168.5.3:50001/TVOD/5000000011000031127/bestzb/index.m3u8$6.8M1080_百视通
